campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T00-25-45-828Z,normal_rep_13,13,2026-03-14T00:25:39.389Z,normal,ai,20261562,300,0.2,1,6,39.1,5.2,199.6,3.2,44,0,40.7,0,25,0,11,26,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_14,14,2026-03-14T00:25:39.407Z,normal,traditional,20261659,300,0.2,1,6,70.3,3.4,247.26,30.4,51,0,73,73,15,1,6,17,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_14,14,2026-03-14T00:25:39.422Z,normal,ai,20261659,300,0.2,1,6,32.6,6,206.17,2.6,44,0,37.8,33,25,1,7,30,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_15,15,2026-03-14T00:25:39.439Z,normal,traditional,20261756,300,0.2,1,6,59.6,2.6,175.18,0,51,0,59.6,0,13,0,10,13,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_15,15,2026-03-14T00:25:39.454Z,normal,ai,20261756,300,0.2,1,6,30.1,6.4,194.62,3.2,42,0,33.2,0,29,0,9,32,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_16,16,2026-03-14T00:25:39.466Z,normal,traditional,20261853,300,0.2,1,6,56.6,2.2,156.29,0,51,0,56.6,0,11,0,12,11,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_16,16,2026-03-14T00:25:39.477Z,normal,ai,20261853,300,0.2,1,6,31.1,5.6,182.17,2.9,43,0,36.2,0,24,0,11,28,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_17,17,2026-03-14T00:25:39.490Z,normal,traditional,20261950,300,0.2,1,6,65.1,4,253.82,0,46,0,64.1,82.4,19,1,13,20,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_17,17,2026-03-14T00:25:39.506Z,normal,ai,20261950,300,0.2,1,6,37.2,5.8,236.93,2.8,45,0,38.9,35.5,25,3,6,29,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_18,18,2026-03-14T00:25:39.532Z,normal,traditional,20262047,300,0.2,1,6,60.5,4,228,63.4,44,0,60.5,0,18,0,17,20,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_18,18,2026-03-14T00:25:39.554Z,normal,ai,20262047,300,0.2,1,6,38.9,6.4,240.09,3,42,0,42.6,50.4,28,1,9,32,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_19,19,2026-03-14T00:25:39.584Z,normal,traditional,20262144,300,0.2,1,6,64.9,4.2,245.09,65.8,43,0,65.1,0,19,0,18,21,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_19,19,2026-03-14T00:25:39.604Z,normal,ai,20262144,300,0.2,1,6,29.2,6.8,203.57,2.8,40,0,35.8,26.8,27,1,11,34,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_20,20,2026-03-14T00:25:39.615Z,normal,traditional,20262241,300,0.2,1,6,52.2,3.2,197.41,46.7,48,0,55.6,36.4,12,1,13,16,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_20,20,2026-03-14T00:25:39.627Z,normal,ai,20262241,300,0.2,1,6,28.2,6.2,183.62,3.3,41,0,41.6,0,21,0,12,31,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_21,21,2026-03-14T00:25:39.643Z,normal,traditional,20262338,300,0.2,1,6,73.7,3.6,244.48,53.3,47,0,76.6,0,16,0,13,18,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_21,21,2026-03-14T00:25:39.655Z,normal,ai,20262338,300,0.2,1,6,30,6.6,204.67,3.1,42,0,35.7,23.6,27,1,8,33,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_22,22,2026-03-14T00:25:39.669Z,normal,traditional,20262435,300,0.2,1,6,62.9,2.6,178.93,0,50,0,62.9,0,13,0,12,13,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_22,22,2026-03-14T00:25:39.685Z,normal,ai,20262435,300,0.2,1,6,35.9,6.2,211.06,0,42,0,35.9,0,31,0,10,31,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_23,23,2026-03-14T00:25:39.710Z,normal,traditional,20262532,300,0.2,1,6,67.4,4.8,283.09,65.5,44,0,68.1,0,21,0,13,24,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_23,23,2026-03-14T00:25:39.729Z,normal,ai,20262532,300,0.2,1,6,30.4,6.6,200.63,3.1,42,0,37.1,0,27,0,8,33,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_24,24,2026-03-14T00:25:39.747Z,normal,traditional,20262629,300,0.2,1,6,66.3,2.8,198.97,65.2,49,0,66.9,0,12,0,13,14,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_24,24,2026-03-14T00:25:39.763Z,normal,ai,20262629,300,0.2,1,6,32.1,7.2,218.69,2.6,42,0,38.5,0,30,0,5,36,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_25,25,2026-03-14T00:25:39.781Z,normal,traditional,20262726,300,0.2,1,6,62.2,3,204.39,0,51,0,64.2,34.6,14,1,8,15,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_25,25,2026-03-14T00:25:39.797Z,normal,ai,20262726,300,0.2,1,6,34.7,5.8,218.81,3.2,45,0,41.2,29.1,23,2,6,29,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_26,26,2026-03-14T00:25:39.815Z,normal,traditional,20262823,300,0.2,1,6,57.5,3.2,206.29,0,47,0,60.7,35.5,14,2,15,16,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_26,26,2026-03-14T00:25:39.831Z,normal,ai,20262823,300,0.2,1,6,34.2,6.8,216.43,2,41,0,35.3,0,33,0,9,34,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_27,27,2026-03-14T00:25:39.852Z,normal,traditional,20262920,300,0.2,1,6,68.7,3.6,239.77,50.6,48,0,72.5,28.6,16,1,11,18,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_27,27,2026-03-14T00:25:39.874Z,normal,ai,20262920,300,0.2,1,6,27.5,5.6,188.46,3.7,42,0,31.4,39,22,2,13,28,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_28,28,2026-03-14T00:25:39.895Z,normal,traditional,20263017,300,0.2,1,6,72.7,3.8,243.53,0,46,0,72.7,0,19,0,14,19,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_28,28,2026-03-14T00:25:39.910Z,normal,ai,20263017,300,0.2,1,6,34.8,5.8,208.69,3.2,43,0,35.9,39.8,27,1,10,29,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_29,29,2026-03-14T00:25:39.926Z,normal,traditional,20263114,300,0.2,1,6,75,2.4,188.58,0,50,0,75,0,12,0,13,12,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_29,29,2026-03-14T00:25:39.942Z,normal,ai,20263114,300,0.2,1,6,39.7,5.6,216.05,2.4,43,0,43.7,18.2,25,1,11,28,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_30,30,2026-03-14T00:25:39.958Z,normal,traditional,20263211,300,0.2,1,6,58.2,3.2,193.91,0,49,1,62,1.8,15,1,11,16,300
campaign_2026-03-14T00-25-45-828Z,normal_rep_30,30,2026-03-14T00:25:39.972Z,normal,ai,20263211,300,0.2,1,6,31.5,6.2,201.72,0,44,0,32.1,14.2,30,1,6,31,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_1,1,2026-03-14T00:25:40.003Z,rush_hour,traditional,20360398,300,0.2,1,6,51.4,2.2,433.69,59.5,236,0,50.1,0,9,0,18,11,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_1,1,2026-03-14T00:25:40.033Z,rush_hour,ai,20360398,300,0.2,1,6,17.7,7.4,448.72,2.6,223,0,26.9,31.9,22,2,18,37,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_2,2,2026-03-14T00:25:40.067Z,rush_hour,traditional,20360495,300,0.2,1,6,49.7,2.2,430.22,40.2,235,1,54.2,0,8,0,19,11,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_2,2,2026-03-14T00:25:40.097Z,rush_hour,ai,20360495,300,0.2,1,6,17.7,9,467.36,2.8,221,1,26.1,33.5,28,2,13,45,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_3,3,2026-03-14T00:25:40.130Z,rush_hour,traditional,20360592,300,0.2,1,6,43.1,3.4,456.07,42.2,234,1,44.5,26.6,15,1,15,17,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_3,3,2026-03-14T00:25:40.202Z,rush_hour,ai,20360592,300,0.2,1,6,21.4,7,455.48,3,223,0,27.7,57.4,25,1,19,35,300
campaign_2026-03-14T00-25-45-828Z,rush_hour_rep_4,4,2026-03-14T00:25:40.279Z,rush_hour,traditional,20360689,300,0.2,1,6,52.6,2.8,451.44,0,238,0,52.6,0,14,0,11,14,300
