campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T00-25-11-030Z,normal_rep_1,1,2026-03-14T00:25:10.877Z,normal,traditional,20260398,120,0.2,1,4,34.7,1.5,42.65,13,19,0,46.3,0,2,0,9,3,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_1,1,2026-03-14T00:25:10.888Z,normal,ai,20260398,120,0.2,1,4,15.2,7,55.21,1.6,15,0,20.4,9.4,10,1,6,14,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_2,2,2026-03-14T00:25:10.894Z,normal,traditional,20260495,120,0.2,1,4,16.2,2,37.3,0,19,0,16.2,0,4,0,8,4,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_2,2,2026-03-14T00:25:10.899Z,normal,ai,20260495,120,0.2,1,4,17.6,6.5,63.01,2,15,0,19.6,16,10,2,7,13,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_3,3,2026-03-14T00:25:10.905Z,normal,traditional,20260592,120,0.2,1,4,23.7,4,49.27,0,16,0,23.7,0,8,0,11,8,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_3,3,2026-03-14T00:25:10.908Z,normal,ai,20260592,120,0.2,1,4,13.7,8,56.3,1.6,16,0,16.8,1.2,13,1,2,16,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_4,4,2026-03-14T00:25:10.910Z,normal,traditional,20260689,120,0.2,1,4,20,4.5,64.07,41.8,17,0,13.2,48.4,7,1,7,9,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_4,4,2026-03-14T00:25:10.913Z,normal,ai,20260689,120,0.2,1,4,15.7,8,59.58,2,13,0,18.1,16.4,13,1,8,16,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_5,5,2026-03-14T00:25:10.917Z,normal,traditional,20260786,120,0.2,1,4,22.2,6,59.86,0,15,0,23.5,7.4,11,1,8,12,120
campaign_2026-03-14T00-25-11-030Z,normal_rep_5,5,2026-03-14T00:25:10.920Z,normal,ai,20260786,120,0.2,1,4,13.7,10,62.49,2.7,14,0,15.7,7.8,17,1,2,20,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_1,1,2026-03-14T00:25:10.926Z,rush_hour,traditional,20360398,120,0.2,1,4,7.2,5.5,153.5,10.1,91,0,6.5,8.2,7,1,7,11,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_1,1,2026-03-14T00:25:10.931Z,rush_hour,ai,20360398,120,0.2,1,4,2.1,10.5,139.66,2,84,0,3.5,0,13,1,11,21,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_2,2,2026-03-14T00:25:10.935Z,rush_hour,traditional,20360495,120,0.2,1,4,6,5.5,144.8,1.6,89,0,6.6,0,10,0,11,11,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_2,2,2026-03-14T00:25:10.940Z,rush_hour,ai,20360495,120,0.2,1,4,5.2,11,151.11,1.9,85,0,7.6,8,14,1,8,22,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_3,3,2026-03-14T00:25:10.944Z,rush_hour,traditional,20360592,120,0.2,1,4,14.6,4,155.33,39.4,91,0,11.3,0,7,0,11,8,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_3,3,2026-03-14T00:25:10.948Z,rush_hour,ai,20360592,120,0.2,1,4,7.5,11.5,155.66,1.6,85,0,9.6,0,18,0,8,23,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_4,4,2026-03-14T00:25:10.953Z,rush_hour,traditional,20360689,120,0.2,1,4,8.5,7.5,151.55,0,88,0,8.5,0,15,0,9,15,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_4,4,2026-03-14T00:25:10.958Z,rush_hour,ai,20360689,120,0.2,1,4,6.3,11,151.63,1.9,85,0,7.7,0,18,1,8,22,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_5,5,2026-03-14T00:25:10.963Z,rush_hour,traditional,20360786,120,0.2,1,4,8.4,7.5,152.81,15.8,87,0,6.9,0,12,0,11,15,120
campaign_2026-03-14T00-25-11-030Z,rush_hour_rep_5,5,2026-03-14T00:25:10.968Z,rush_hour,ai,20360786,120,0.2,1,4,4.8,12,147.44,1.6,83,0,6.4,5.4,17,1,10,24,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_1,1,2026-03-14T00:25:10.973Z,accident,traditional,20460398,120,0.2,1,4,32.5,1,45.84,0,25,0,32.5,0,2,0,8,2,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_1,1,2026-03-14T00:25:10.976Z,accident,ai,20460398,120,0.2,1,4,10.3,5,49.03,1.5,22,0,14.7,0,7,0,6,10,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_2,2,2026-03-14T00:25:10.979Z,accident,traditional,20460495,120,0.2,1,4,7.4,0.5,40.69,8.6,26,0,0,0,0,0,7,1,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_2,2,2026-03-14T00:25:10.981Z,accident,ai,20460495,120,0.2,1,4,16.6,5,55.67,2.4,21,0,23.7,0,7,0,8,10,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_3,3,2026-03-14T00:25:10.985Z,accident,traditional,20460592,120,0.2,1,4,45.4,0.5,46.25,0,27,0,45.4,0,1,0,5,1,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_3,3,2026-03-14T00:25:10.988Z,accident,ai,20460592,120,0.2,1,4,5.2,7,46.91,2.8,21,0,9.1,0,8,0,4,14,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_4,4,2026-03-14T00:25:10.990Z,accident,traditional,20460689,120,0.2,1,4,1.2,0.5,41.17,2.8,27,0,0,0,0,0,5,1,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_4,4,2026-03-14T00:25:10.992Z,accident,ai,20460689,120,0.2,1,4,4.1,5,45.72,3.3,23,0,7.7,2.6,5,1,4,10,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_5,5,2026-03-14T00:25:10.995Z,accident,traditional,20460786,120,0.2,1,4,3.8,1,39.16,1.6,25,0,7.6,0,1,0,8,2,120
campaign_2026-03-14T00-25-11-030Z,accident_rep_5,5,2026-03-14T00:25:10.997Z,accident,ai,20460786,120,0.2,1,4,11.7,5,51.77,1.3,23,0,16.7,0,7,0,4,10,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_1,1,2026-03-14T00:25:10.999Z,emergency,traditional,20560398,120,0.2,1,4,13,3,45.85,1.6,23,0,15.6,0,5,0,8,6,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_1,1,2026-03-14T00:25:11.003Z,emergency,ai,20560398,120,0.2,1,4,11.7,8.5,59.17,1.7,19,1,25,0,8,0,5,17,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_2,2,2026-03-14T00:25:11.006Z,emergency,traditional,20560495,120,0.2,1,4,24.4,2.5,51.68,8,23,0,36.3,0,3,0,9,5,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_2,2,2026-03-14T00:25:11.010Z,emergency,ai,20560495,120,0.2,1,4,6.2,12,57.97,1.8,16,1,17.9,24,7,1,4,24,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_3,3,2026-03-14T00:25:11.013Z,emergency,traditional,20560592,120,0.2,1,4,14.4,2,43.99,0,24,0,14.4,0,4,0,8,4,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_3,3,2026-03-14T00:25:11.015Z,emergency,ai,20560592,120,0.2,1,4,6.9,10.5,51.08,1.8,17,0,14.4,0,10,0,5,21,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_4,4,2026-03-14T00:25:11.019Z,emergency,traditional,20560689,120,0.2,1,4,23.9,5,70.26,19.7,21,0,32,7.6,5,1,8,10,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_4,4,2026-03-14T00:25:11.022Z,emergency,ai,20560689,120,0.2,1,4,9.8,11,65.31,1.8,16,0,21,26.8,9,1,6,22,120
campaign_2026-03-14T00-25-11-030Z,emergency_rep_5,5,2026-03-14T00:25:11.026Z,emergency,traditional,20560786,120,0.2,1,4,18.5,3,48.67,2.4,22,0,22.2,0,5,0,10,6,120
