campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-01T12-10-56-981Z,normal_rep_1,1,2026-03-01T12:10:56.925Z,normal,traditional,20260398,120,0.2,1,4,8.9,5.5,42.65,13.3,16,0,7.6,0,7,0,7,11,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_1,1,2026-03-01T12:10:56.928Z,normal,ai,20260398,120,0.2,1,4,9.1,9.5,48.71,2.3,14,0,12.3,0,14,0,3,19,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_2,2,2026-03-01T12:10:56.930Z,normal,traditional,20260495,120,0.2,1,4,23.1,3,49.45,42.2,19,0,19.5,0,5,0,7,6,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_2,2,2026-03-01T12:10:56.932Z,normal,ai,20260495,120,0.2,1,4,12.6,7,58.64,1.6,16,0,14.1,35.6,10,1,5,14,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_3,3,2026-03-01T12:10:56.934Z,normal,traditional,20260592,120,0.2,1,4,28.2,4.5,57.24,0,16,0,28.2,0,9,0,9,9,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_3,3,2026-03-01T12:10:56.936Z,normal,ai,20260592,120,0.2,1,4,14.1,7.5,59.42,1.6,14,0,16.6,9.4,11,3,7,15,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_4,4,2026-03-01T12:10:56.938Z,normal,traditional,20260689,120,0.2,1,4,27.7,4.5,56.17,18.2,15,0,29.1,0,8,0,11,9,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_4,4,2026-03-01T12:10:56.939Z,normal,ai,20260689,120,0.2,1,4,13.3,8,53.58,1.8,15,0,17.8,0,12,1,4,16,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_5,5,2026-03-01T12:10:56.940Z,normal,traditional,20260786,120,0.2,1,4,20.7,1,35.51,0,20,0,20.7,0,2,0,8,2,120
campaign_2026-03-01T12-10-56-981Z,normal_rep_5,5,2026-03-01T12:10:56.941Z,normal,ai,20260786,120,0.2,1,4,10.4,7.5,49.33,2.2,14,0,14,16.4,10,1,7,15,120
campaign_2026-03-01T12-10-56-981Z,rush_hour_rep_1,1,2026-03-01T12:10:56.943Z,rush_hour,traditional,20360398,120,0.2,1,4,9.1,5,150.49,12.2,90,0,8.7,0,8,0,10,10,120
campaign_2026-03-01T12-10-56-981Z,rush_hour_rep_1,1,2026-03-01T12:10:56.945Z,rush_hour,ai,20360398,120,0.2,1,4,5.8,12,152.5,1.4,85,0,9.9,0,14,0,6,24,120
campaign_2026-03-01T12-10-56-981Z,rush_hour_rep_2,2,2026-03-01T12:10:56.949Z,rush_hour,traditional,20360495,120,0.2,1,4,9.1,6.5,152.81,2,88,1,10,8.4,11,1,11,13,120
