timestamp,scenario,mode,repetition,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,vehicles_completed
2026-03-14T00:37:24.477Z,normal,traditional,1,20260398,0,0,28.5,0,19,0,0
2026-03-14T00:37:24.504Z,normal,ai,1,20260398,41.4,2,48.61,0,18,0,4
2026-03-14T00:37:24.555Z,normal,rl,1,20260398,30.2,2.5,44.22,0,16,0,5
2026-03-14T00:37:24.571Z,normal,traditional,2,20260495,49.8,1,35.47,0,15,0,2
2026-03-14T00:37:24.591Z,normal,ai,2,20260495,19.5,5.5,54.06,2.5,15,0,11
2026-03-14T00:37:24.600Z,normal,rl,2,20260495,30.9,2,51.56,0,15,0,4
2026-03-14T00:37:24.610Z,normal,traditional,3,20260592,26.4,2.5,39.4,0,14,0,5
2026-03-14T00:37:24.620Z,normal,ai,3,20260592,24.6,5.5,60.67,2.4,15,0,11
2026-03-14T00:37:24.652Z,normal,rl,3,20260592,50.9,2,58.6,92.4,18,0,4
2026-03-14T00:37:24.657Z,normal,traditional,4,20260689,52.6,1.5,44.14,0,16,0,3
2026-03-14T00:37:24.661Z,normal,ai,4,20260689,25.4,5.5,69.19,3.5,15,0,11
2026-03-14T00:37:24.666Z,normal,rl,4,20260689,25,4,51.5,0,16,0,8
2026-03-14T00:37:24.675Z,normal,traditional,5,20260786,45.4,0.5,28.31,0,15,0,1
2026-03-14T00:37:24.682Z,normal,ai,5,20260786,49.4,5,89.15,0,17,0,10
2026-03-14T00:37:24.715Z,normal,rl,5,20260786,38,1,46.44,0,17,0,2
2026-03-14T00:37:24.728Z,rush_hour,traditional,1,20360398,74.6,1,159.67,97.6,90,0,2
2026-03-14T00:37:24.739Z,rush_hour,ai,1,20360398,12.1,7.5,160.96,2.8,87,0,15
2026-03-14T00:37:24.751Z,rush_hour,rl,1,20360398,10,2.5,142.69,17.8,89,0,5
2026-03-14T00:37:24.762Z,rush_hour,traditional,2,20360495,10.4,0.5,137.5,12.8,90,0,1
2026-03-14T00:37:24.774Z,rush_hour,ai,2,20360495,16.1,8,165.05,2.5,84,0,16
2026-03-14T00:37:24.785Z,rush_hour,rl,2,20360495,13,3.5,147.12,0,89,0,7
2026-03-14T00:37:24.794Z,rush_hour,traditional,3,20360592,42.4,2,160.88,0,88,0,4
