campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-14T16-49-01-205Z,normal_rep_1,1,2026-03-14T16:48:57.828Z,normal,traditional,20260398,300,0.2,1,6,60.6,4.2,237.44,30.3,48,0,64.1,0,19,0,8,21,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_1,1,2026-03-14T16:48:57.859Z,normal,ai,20260398,300,0.2,1,6,36.3,7.4,250.19,3.2,40,0,40.6,43.6,32,1,8,37,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_2,2,2026-03-14T16:48:57.877Z,normal,traditional,20260495,300,0.2,1,6,75.2,3,216.25,0,49,0,75.2,0,15,0,12,15,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_2,2,2026-03-14T16:48:57.890Z,normal,ai,20260495,300,0.2,1,6,35.9,4.6,179.42,3.4,46,0,39.3,0,21,0,10,23,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_3,3,2026-03-14T16:48:57.900Z,normal,traditional,20260592,300,0.2,1,6,92.5,2.2,205.67,0,52,0,92.5,0,11,0,11,11,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_3,3,2026-03-14T16:48:57.910Z,normal,ai,20260592,300,0.2,1,6,34.2,5.6,208.82,2.8,43,0,39.1,28.6,23,2,11,28,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_4,4,2026-03-14T16:48:57.923Z,normal,traditional,20260689,300,0.2,1,6,77.2,3,217.67,0,48,0,77.2,0,15,0,14,15,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_4,4,2026-03-14T16:48:57.933Z,normal,ai,20260689,300,0.2,1,6,27.4,7.4,207.6,3,38,0,31.5,40.2,31,1,12,37,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_5,5,2026-03-14T16:48:57.946Z,normal,traditional,20260786,300,0.2,1,6,83.7,2.8,233.84,99,50,0,81.6,0,12,0,11,14,300
campaign_2026-03-14T16-49-01-205Z,normal_rep_5,5,2026-03-14T16:48:57.957Z,normal,ai,20260786,300,0.2,1,6,24.9,7.2,186.9,2.9,40,0,33.2,0,27,0,9,36,300
