timestamp,scenario,mode,repetition,seed,grid_size,duration,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions
2026-03-14T17:23:22.508Z,emergency,traditional,1,20564518,4,120,26.2,5.5,74.24,19.2,21
2026-03-14T17:23:22.510Z,emergency,ai,1,20564518,4,120,10.8,12.5,67.93,1.8,16
2026-03-14T17:23:22.512Z,emergency,rl,1,20564518,4,120,12.2,6,55.03,13.9,21
2026-03-14T17:23:22.514Z,emergency,traditional,2,20564615,4,120,18,4,54.3,17.6,21
2026-03-14T17:23:22.515Z,emergency,ai,2,20564615,4,120,8.8,14,58.85,1.7,13
2026-03-14T17:23:22.517Z,emergency,rl,2,20564615,4,120,12.3,9.5,65.76,19.6,18
2026-03-14T17:23:22.519Z,emergency,traditional,3,20564712,4,120,21.2,3.5,52.67,0,22
2026-03-14T17:23:22.520Z,emergency,ai,3,20564712,4,120,9.5,11.5,68.04,1.8,16
2026-03-14T17:23:22.522Z,emergency,rl,3,20564712,4,120,12.8,7.5,59.2,9.6,19
2026-03-14T17:23:22.524Z,emergency,traditional,4,20564809,4,120,30.6,4.5,78.02,43.5,21
2026-03-14T17:23:22.526Z,emergency,ai,4,20564809,4,120,6.1,12,52.21,1.9,17
2026-03-14T17:23:22.528Z,emergency,rl,4,20564809,4,120,20.5,1.5,45.71,0,25
2026-03-14T17:23:22.530Z,emergency,traditional,5,20564906,4,120,20.6,5,66.15,19.1,21
2026-03-14T17:23:22.531Z,emergency,ai,5,20564906,4,120,9.5,10,57.62,1.7,18
2026-03-14T17:23:22.533Z,emergency,rl,5,20564906,4,120,10.9,5,53.9,13.4,23
2026-03-14T17:23:22.535Z,emergency,traditional,6,20565003,4,120,24.1,5.5,67.05,14.7,19
2026-03-14T17:23:22.546Z,emergency,ai,6,20565003,4,120,7.9,12.5,63.88,1.5,15
2026-03-14T17:23:22.548Z,emergency,rl,6,20565003,4,120,15.1,10.5,73.16,15.1,16
2026-03-14T17:23:22.550Z,normal,traditional,1,20264578,4,180,21.1,2.7,66.76,11.8,29
2026-03-14T17:23:22.553Z,normal,ai,1,20264578,4,180,22.7,7.3,104.57,1.8,23
2026-03-14T17:23:22.555Z,normal,rl,1,20264578,4,180,9,8.3,77.62,9.8,22
2026-03-14T17:23:22.558Z,normal,traditional,2,20264675,4,180,27.3,3.3,79.93,6.2,29
2026-03-14T17:23:22.560Z,normal,ai,2,20264675,4,180,12.6,6,79.82,1.5,26
2026-03-14T17:23:22.562Z,normal,rl,2,20264675,4,180,14.5,7.3,81.95,12.8,24
2026-03-14T17:23:22.565Z,normal,traditional,3,20264772,4,180,21.8,4.7,93.22,26.6,24
2026-03-14T17:23:22.567Z,normal,ai,3,20264772,4,180,22,5.7,99.18,1.2,26
2026-03-14T17:23:22.569Z,normal,rl,3,20264772,4,180,14.1,6.3,85.96,23,24
2026-03-14T17:23:22.571Z,normal,traditional,4,20264869,4,180,8.7,4.3,59.58,0,28
2026-03-14T17:23:22.574Z,normal,ai,4,20264869,4,180,14.7,6,78.35,1.6,25
2026-03-14T17:23:22.576Z,normal,rl,4,20264869,4,180,12.9,7.7,77.29,5.6,23
2026-03-14T17:23:22.579Z,normal,traditional,5,20264966,4,180,24.5,5,90.48,52,26
