timestamp,scenario,mode,repetition,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,vehicles_completed
2026-03-18T23:45:45.439Z,normal,traditional,1,20260398,49.5,4,112.16,17.6,23,0,12
2026-03-18T23:45:45.477Z,normal,ai,1,20260398,37.9,7.3,142,3.2,21,0,22
2026-03-18T23:45:45.516Z,normal,rl,1,20260398,37.2,4.7,117.38,43.4,27,0,14
2026-03-18T23:45:45.533Z,normal,traditional,2,20260495,51.5,2.3,86.96,0,27,0,7
2026-03-18T23:45:45.546Z,normal,ai,2,20260495,34.7,4.3,99.7,3.4,26,0,13
2026-03-18T23:45:45.557Z,normal,rl,2,20260495,24,5.7,99.76,26,26,0,17
2026-03-18T23:45:45.567Z,normal,traditional,3,20260592,66.2,1.7,88.6,0,31,0,5
2026-03-18T23:45:45.575Z,normal,ai,3,20260592,38.9,4.3,114.77,2.4,26,0,13
2026-03-18T23:45:45.585Z,normal,rl,3,20260592,31.3,4.7,105.84,0,26,0,14
2026-03-18T23:45:45.596Z,normal,traditional,4,20260689,95.7,1.7,103.37,0,29,0,5
2026-03-18T23:45:45.605Z,normal,ai,4,20260689,27,6.7,120.09,3.1,23,0,20
2026-03-18T23:45:45.615Z,normal,rl,4,20260689,56,5.3,153.32,0,26,0,16
2026-03-18T23:45:45.624Z,normal,traditional,5,20260786,43.1,1.3,67.61,29,29,0,4
2026-03-18T23:45:45.634Z,normal,ai,5,20260786,30.5,7.3,123.9,3,21,0,22
2026-03-18T23:45:45.643Z,normal,rl,5,20260786,30.8,6,120.4,8.6,23,0,18
2026-03-18T23:45:45.653Z,normal,traditional,6,20260883,46,3.3,100.25,0,27,0,10
2026-03-18T23:45:45.661Z,normal,ai,6,20260883,26.9,6.3,106.85,2.7,24,0,19
2026-03-18T23:45:45.672Z,normal,rl,6,20260883,43.7,3.3,98.41,0,28,0,10
2026-03-18T23:45:45.683Z,normal,traditional,7,20260980,78.7,2,103.16,0,29,0,6
2026-03-18T23:45:45.691Z,normal,ai,7,20260980,36.4,3,85.81,2.4,28,0,9
2026-03-18T23:45:45.701Z,normal,rl,7,20260980,37.6,4,135.48,0,26,0,12
2026-03-18T23:45:45.711Z,normal,traditional,8,20261077,51.1,1,63.17,0,29,0,3
2026-03-18T23:45:45.720Z,normal,ai,8,20261077,31.7,6,115.78,2.8,25,0,18
2026-03-18T23:45:45.735Z,normal,rl,8,20261077,42.1,3.3,95.56,0,27,0,10
2026-03-18T23:45:45.759Z,normal,traditional,9,20261174,59.1,2,84.04,0,26,1,6
2026-03-18T23:45:45.783Z,normal,ai,9,20261174,34.6,6,130.34,2.8,23,0,18
2026-03-18T23:45:45.796Z,normal,rl,9,20261174,26.3,5,127.06,40.2,24,0,15
2026-03-18T23:45:45.810Z,normal,traditional,10,20261271,48.8,3,119.2,0,23,0,9
2026-03-18T23:45:45.824Z,normal,ai,10,20261271,36,6,161.99,2.8,22,0,18
2026-03-18T23:45:45.843Z,normal,rl,10,20261271,46.4,6.3,161.46,0,23,0,19
2026-03-18T23:45:45.875Z,rush_hour,traditional,1,20360398,41.1,2.7,254.84,0,134,2,8
2026-03-18T23:45:45.906Z,rush_hour,ai,1,20360398,21,9,274.55,2.8,128,0,27
2026-03-18T23:45:45.939Z,rush_hour,rl,1,20360398,16.2,3.7,228.48,2.6,135,2,11
2026-03-18T23:45:45.979Z,rush_hour,traditional,2,20360495,53.2,1.7,239.06,66.4,134,0,5
