campaign_id,pair_id,repetition,timestamp,scenario,mode,seed,repetitions_duration_seconds,dt,speed,grid_size,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,light_avg_wait_time,heavy_avg_wait_time,light_completed,heavy_completed,vehicles_active,vehicles_completed,simulation_time
campaign_2026-03-08T11-27-30-544Z,normal_rep_1,1,2026-03-08T11:27:28.505Z,normal,traditional,20260398,300,0.2,1,6,79.2,1.8,169.16,0,53,1,79.2,0,9,0,10,9,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_1,1,2026-03-08T11:27:28.521Z,normal,ai,20260398,300,0.2,1,6,35.9,8,271.03,2.5,40,0,38.8,40.3,35,2,5,40,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_2,2,2026-03-08T11:27:28.590Z,normal,traditional,20260495,300,0.2,1,6,61.9,2,161.66,36.2,54,0,65.1,0,9,0,8,10,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_2,2,2026-03-08T11:27:28.596Z,normal,ai,20260495,300,0.2,1,6,32.2,6.2,202.33,2.8,45,0,37,0,27,0,4,31,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_3,3,2026-03-08T11:27:28.604Z,normal,traditional,20260592,300,0.2,1,6,83.2,2.8,219.41,0,49,0,83.2,0,14,0,13,14,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_3,3,2026-03-08T11:27:28.608Z,normal,ai,20260592,300,0.2,1,6,27.7,6.4,202.93,2.7,42,0,31.3,35.1,26,2,9,32,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_4,4,2026-03-08T11:27:28.615Z,normal,traditional,20260689,300,0.2,1,6,84.4,4.2,315.3,37,48,0,87.4,79.6,19,1,8,21,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_4,4,2026-03-08T11:27:28.632Z,normal,ai,20260689,300,0.2,1,6,39.5,5.8,240.61,2.4,46,0,42.3,43.2,25,2,4,29,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_5,5,2026-03-08T11:27:28.639Z,normal,traditional,20260786,300,0.2,1,6,69.8,2,178.56,0,50,0,70.5,63.6,9,1,15,10,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_5,5,2026-03-08T11:27:28.645Z,normal,ai,20260786,300,0.2,1,6,32,5.8,196.8,2.4,42,0,34.3,36,26,1,12,29,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_6,6,2026-03-08T11:27:28.652Z,normal,traditional,20260883,300,0.2,1,6,61,2.8,208.59,91.8,48,0,61,32.7,10,2,15,14,300
campaign_2026-03-08T11-27-30-544Z,normal_rep_6,6,2026-03-08T11:27:28.656Z,normal,ai,20260883,300,0.2,1,6,26.5,8,241.52,2.8,39,0,31.5,36.7,29,4,7,40,300
