episode,scenario,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,q_states,epsilon
87,portugal,20272220,13.5,10.5,224.04,20.2,75,0,18,0.03
88,portugal_litoral,20272357,14.1,11.5,239.91,42.1,90,0,18,0.03
89,portugal_interior,20272494,8.9,12,185.68,14.6,68,1,18,0.03
90,portugal_sul,20272631,16.6,10.3,216.27,55.6,71,0,18,0.03
91,normal,20272768,51.9,4.5,207.69,0,34,0,18,0.03
92,rush_hour,20272905,15.7,6.8,337.68,22.7,178,0,18,0.03
93,accident,20273042,38.9,2.8,141.14,83.4,50,0,18,0.03
94,emergency,20273179,44,5.5,205.78,46.6,44,1,18,0.03
95,vila_real,20273316,29.8,4.8,186.86,11.7,73,0,18,0.03
96,portugal,20273453,12,9,178.91,0,79,0,18,0.03
97,portugal_litoral,20273590,15.6,14.8,289.98,43.5,84,0,18,0.03
98,portugal_interior,20273727,13.9,11,228.12,52.2,73,0,18,0.03
99,portugal_sul,20273864,17.3,12.5,250.37,40.2,71,0,18,0.03
100,normal,20274001,33.1,6,170.97,49.4,33,0,18,0.03
101,rush_hour,20274138,20.7,5.5,334.13,0,180,1,18,0.03
102,accident,20274275,51.6,1.5,119.47,23.6,52,0,18,0.03
103,emergency,20274412,29.7,7,189.84,22.2,41,0,18,0.03
104,vila_real,20274549,38.8,5.3,222.56,36.6,71,0,18,0.03
105,portugal,20274686,11.4,10,189.07,30.9,75,0,18,0.03
106,portugal_litoral,20274823,9.3,12,210.45,30.4,88,0,18,0.03
107,portugal_interior,20274960,15.6,12.5,232.46,0,69,0,18,0.03
108,portugal_sul,20275097,14.2,12.3,225.38,35.5,70,0,18,0.03
109,normal,20275234,27.1,4.8,141.46,24,37,0,18,0.03
110,rush_hour,20275371,22,6.3,345.32,19.2,176,1,18,0.03
111,accident,20275508,50.6,1.5,122.72,70,53,0,18,0.03
112,emergency,20275645,57.3,3,177.17,55.8,46,0,18,0.03
113,vila_real,20275782,34.3,4,189.23,28.8,72,0,18,0.03
114,portugal,20275919,18.9,10.5,228.95,56.9,72,0,18,0.03
115,portugal_litoral,20276056,9.2,9.5,215.17,12.4,94,0,18,0.03
116,portugal_interior,20276193,14.2,10,206.02,16.1,76,0,18,0.03
117,portugal_sul,20276330,13.6,9.3,207.02,3.2,75,0,18,0.03
118,normal,20276467,44.2,5.3,180.71,76.7,34,0,18,0.03
119,rush_hour,20276604,23.9,7.8,373.59,47.2,177,1,18,0.03
120,accident,20276741,35.3,4.8,179.39,47.2,45,0,18,0.03
121,emergency,20276878,38.7,5,209.26,47.9,44,0,18,0.03
122,vila_real,20277015,21.5,4.3,179.49,11.8,73,0,18,0.03
123,portugal,20277152,21.2,8,223.94,86.6,75,0,18,0.03
124,portugal_litoral,20277289,12.1,9.8,223.27,27.5,94,0,18,0.03
125,portugal_interior,20277426,16.6,10,231.21,42,72,0,18,0.03
126,portugal_sul,20277563,13.6,12.5,204.88,20.3,69,0,18,0.03
127,normal,20277700,44,4.8,190.13,2,35,0,18,0.03
128,rush_hour,20277837,35.9,5,367.55,0,182,1,18,0.03
129,accident,20277974,35.3,2.8,126.4,2,50,1,18,0.03
130,emergency,20278111,34.4,7.8,240.38,49.7,41,0,18,0.03
131,vila_real,20278248,21.5,4.8,167.44,12.8,72,0,18,0.03
