timestamp,scenario,mode,repetition,seed,avg_wait_time,flow_rate,co2_emissions,emergency_response_time,total_collisions,collision_avoided,vehicles_completed
2026-03-14T16:49:03.779Z,normal,traditional,1,20260398,49.5,4,112.16,17.6,23,0,12
2026-03-14T16:49:03.801Z,normal,ai,1,20260398,37.9,7.3,142,3.2,21,0,22
2026-03-14T16:49:03.823Z,normal,rl,1,20260398,48.8,5.3,143,39.1,25,1,16
2026-03-14T16:49:03.835Z,normal,traditional,2,20260495,51.5,2.3,86.96,0,27,0,7
2026-03-14T16:49:03.844Z,normal,ai,2,20260495,34.7,4.3,99.7,3.4,26,0,13
2026-03-14T16:49:03.853Z,normal,rl,2,20260495,32.8,4,96.43,19,28,0,12
2026-03-14T16:49:03.860Z,normal,traditional,3,20260592,66.2,1.7,88.6,0,31,0,5
2026-03-14T16:49:03.866Z,normal,ai,3,20260592,38.9,4.3,114.77,2.4,26,0,13
2026-03-14T16:49:03.873Z,normal,rl,3,20260592,41.5,4,107.08,0,28,0,12
2026-03-14T16:49:03.880Z,normal,traditional,4,20260689,95.7,1.7,103.37,0,29,0,5
2026-03-14T16:49:03.886Z,normal,ai,4,20260689,27,6.7,120.09,3.1,23,0,20
2026-03-14T16:49:03.892Z,normal,rl,4,20260689,53.2,4.3,129.07,0,27,0,13
2026-03-14T16:49:03.898Z,normal,traditional,5,20260786,43.1,1.3,67.61,29,29,0,4
2026-03-14T16:49:03.904Z,normal,ai,5,20260786,30.5,7.3,123.9,3,21,0,22
2026-03-14T16:49:03.909Z,normal,rl,5,20260786,37.6,3.3,109.59,0,29,0,10
2026-03-14T16:49:03.915Z,normal,traditional,6,20260883,46,3.3,100.25,0,27,0,10
2026-03-14T16:49:03.920Z,normal,ai,6,20260883,26.9,6.3,106.85,2.7,24,0,19
2026-03-14T16:49:03.925Z,normal,rl,6,20260883,28.3,5.7,109.33,66.8,21,0,17
2026-03-14T16:49:03.932Z,normal,traditional,7,20260980,78.7,2,103.16,0,29,0,6
2026-03-14T16:49:03.938Z,normal,ai,7,20260980,36.4,3,85.81,2.4,28,0,9
2026-03-14T16:49:03.944Z,normal,rl,7,20260980,47.8,5,137.54,55.6,25,0,15
2026-03-14T16:49:03.950Z,normal,traditional,8,20261077,51.1,1,63.17,0,29,0,3
2026-03-14T16:49:03.956Z,normal,ai,8,20261077,31.7,6,115.78,2.8,25,0,18
2026-03-14T16:49:03.961Z,normal,rl,8,20261077,42.3,3.7,110.75,44.6,28,0,11
2026-03-14T16:49:03.971Z,normal,traditional,9,20261174,59.1,2,84.04,0,26,1,6
2026-03-14T16:49:03.979Z,normal,ai,9,20261174,34.6,6,130.34,2.8,23,0,18
2026-03-14T16:49:03.987Z,normal,rl,9,20261174,34.7,6,142.87,0,25,0,18
2026-03-14T16:49:03.994Z,normal,traditional,10,20261271,48.8,3,119.2,0,23,0,9
2026-03-14T16:49:04.001Z,normal,ai,10,20261271,36,6,161.99,2.8,22,0,18
2026-03-14T16:49:04.007Z,normal,rl,10,20261271,37.2,6.3,132.33,37.7,23,0,19
2026-03-14T16:49:04.019Z,rush_hour,traditional,1,20360398,41.1,2.7,254.84,0,134,2,8
2026-03-14T16:49:04.031Z,rush_hour,ai,1,20360398,21,9,274.55,2.8,128,0,27
2026-03-14T16:49:04.043Z,rush_hour,rl,1,20360398,19.2,6.3,254.02,48,130,1,19
2026-03-14T16:49:04.057Z,rush_hour,traditional,2,20360495,53.2,1.7,239.06,66.4,134,0,5
2026-03-14T16:49:04.070Z,rush_hour,ai,2,20360495,27.3,6.3,269.95,2.3,132,1,19
2026-03-14T16:49:04.083Z,rush_hour,rl,2,20360495,19.9,7.3,256.48,7.8,129,0,22
2026-03-14T16:49:04.095Z,rush_hour,traditional,3,20360592,49.6,2.3,247.13,0,135,0,7
2026-03-14T16:49:04.107Z,rush_hour,ai,3,20360592,19.9,7.7,275.9,3.3,131,0,23
2026-03-14T16:49:04.119Z,rush_hour,rl,3,20360592,32.2,6,282.05,45.4,134,1,18
2026-03-14T16:49:04.131Z,rush_hour,traditional,4,20360689,37.4,2,246.31,69.8,139,1,6
2026-03-14T16:49:04.143Z,rush_hour,ai,4,20360689,22.5,9,284.45,3.2,128,0,27
2026-03-14T16:49:04.155Z,rush_hour,rl,4,20360689,24.7,3.3,241.01,39.4,135,0,10
2026-03-14T16:49:04.165Z,rush_hour,traditional,5,20360786,38.8,2.3,242.51,74,135,1,7
2026-03-14T16:49:04.176Z,rush_hour,ai,5,20360786,18.9,8.3,274.9,3,130,1,25
2026-03-14T16:49:04.187Z,rush_hour,rl,5,20360786,16.2,6.3,248.82,0,134,0,19
2026-03-14T16:49:04.199Z,rush_hour,traditional,6,20360883,28.4,3.3,258.15,0,135,2,10
2026-03-14T16:49:04.210Z,rush_hour,ai,6,20360883,24.2,6.3,279.31,3,135,0,19
2026-03-14T16:49:04.220Z,rush_hour,rl,6,20360883,17.8,8.3,260.34,0,131,0,25
2026-03-14T16:49:04.231Z,rush_hour,traditional,7,20360980,43.5,2,240.83,70.2,135,0,6
2026-03-14T16:49:04.243Z,rush_hour,ai,7,20360980,16.6,8.7,271.69,2.9,129,1,26
2026-03-14T16:49:04.255Z,rush_hour,rl,7,20360980,20.5,6,256.01,38.8,134,0,18
2026-03-14T16:49:04.270Z,rush_hour,traditional,8,20361077,70,2.3,270.37,94.2,135,0,7
2026-03-14T16:49:04.282Z,rush_hour,ai,8,20361077,14.8,7,245,2.9,131,0,21
2026-03-14T16:49:04.295Z,rush_hour,rl,8,20361077,22.2,5,258.85,25,137,0,15
2026-03-14T16:49:04.307Z,rush_hour,traditional,9,20361174,50.1,2,244.33,0,137,0,6
2026-03-14T16:49:04.319Z,rush_hour,ai,9,20361174,16.4,7.7,259.91,3.2,131,1,23
2026-03-14T16:49:04.332Z,rush_hour,rl,9,20361174,16.8,5.7,249.21,7.4,133,0,17
2026-03-14T16:49:04.345Z,rush_hour,traditional,10,20361271,39.9,3.3,261.14,47.2,137,1,10
2026-03-14T16:49:04.358Z,rush_hour,ai,10,20361271,20.1,5,243.95,3,133,0,15
2026-03-14T16:49:04.371Z,rush_hour,rl,10,20361271,18.6,5.7,248.45,46.4,133,0,17
2026-03-14T16:49:04.382Z,accident,traditional,1,20460398,65.5,2.3,114.7,17.4,37,0,7
2026-03-14T16:49:04.391Z,accident,ai,1,20460398,27.1,6.3,153.41,3.8,32,0,19
2026-03-14T16:49:04.399Z,accident,rl,1,20460398,43.3,1.7,98.21,25,34,0,5
2026-03-14T16:49:04.409Z,accident,traditional,2,20460495,71.2,1.7,99,0,36,0,5
2026-03-14T16:49:04.416Z,accident,ai,2,20460495,18.4,7.7,107.69,3.3,29,0,23
2026-03-14T16:49:04.426Z,accident,rl,2,20460495,32.7,3,95.62,29.4,35,0,9
2026-03-14T16:49:04.433Z,accident,traditional,3,20460592,36.3,0.7,63.73,0,36,0,2
2026-03-14T16:49:04.441Z,accident,ai,3,20460592,20.6,5.3,95.54,3.4,31,0,16
2026-03-14T16:49:04.447Z,accident,rl,3,20460592,64.9,2,107.6,65.4,36,0,6
