scenario,mode_a,mode_b,metric,analysis_type,n_pairs,n_mode_a,n_mode_b,mode_a_mean,mode_b_mean,difference_a_minus_b,difference_ci95_lo,difference_ci95_hi,improvement_percent,pvalue_permutation,pvalue_holm
vila_real,ai,traditional,total_collisions,paired,10,10,10,48.1,54.1,-6.0,-7.9,-3.9,11.090573012939002,0.0034991252186953262,0.05598600349912522
vila_real,ai,traditional,collision_avoided,paired,10,10,10,0.0,0.1,-0.1,-0.3,0.0,-100.0,1.0,1.0
vila_real,ai,traditional,vehicles_completed,paired,10,10,10,23.1,10.7,12.400000000000002,10.1,14.7,115.88785046728975,0.0017495626093476631,0.036740814796300925
vila_real,rl,traditional,avg_wait_time,paired,10,10,10,25.97,25.279999999999998,0.6900000000000013,-7.480500000000001,8.85025,-2.7294303797468404,0.8847788052986754,1.0
vila_real,rl,traditional,flow_rate,paired,10,10,10,4.369999999999999,3.5699999999999994,0.7999999999999998,0.2500000000000001,1.3,22.408963585434172,0.0332416895776056,0.39890027493126723
vila_real,rl,traditional,co2_emissions,paired,10,10,10,128.604,123.277,5.327000000000012,-11.257174999999993,19.831675,-4.321162909545181,0.5396150962259435,1.0
vila_real,rl,traditional,emergency_response_time,paired,10,10,10,12.43,14.2,-1.7699999999999996,-10.701999999999998,6.6602500000000004,12.464788732394364,0.7175706073481629,1.0
vila_real,rl,traditional,total_collisions,paired,10,10,10,53.0,54.1,-1.1000000000000014,-3.2,1.0,2.0332717190388196,0.3919020244938765,1.0
vila_real,rl,traditional,collision_avoided,paired,10,10,10,0.2,0.1,0.1,-0.2,0.4,100.0,1.0,1.0
vila_real,rl,traditional,vehicles_completed,paired,10,10,10,13.1,10.7,2.4000000000000004,0.8,3.9,22.42990654205608,0.0332416895776056,0.39890027493126723
